id,android_id,time_stamp,x,y,z,notes,created_at,updated_at,csv
2379,41af43bb3f9077ea,1423098487180,0.2943573,-0.049240112,9.8637085,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2380,41af43bb3f9077ea,1423098487681,0.30030823,-0.049835205,9.906555,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2381,41af43bb3f9077ea,1423098488188,0.29019165,-0.05281067,9.902985,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2382,41af43bb3f9077ea,1423098488704,0.2854309,-0.024246216,9.8958435,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2383,41af43bb3f9077ea,1423098489218,0.27293396,-0.038528442,9.87323,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2384,41af43bb3f9077ea,1423098489734,0.29852295,-0.04269409,9.872635,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2385,41af43bb3f9077ea,1423098490249,0.28305054,-0.058761597,9.923218,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2386,41af43bb3f9077ea,1423098490764,0.28126526,-0.060546875,9.928574,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2387,41af43bb3f9077ea,1423098491277,0.3014984,-0.036743164,9.913101,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2388,41af43bb3f9077ea,1423098491794,0.29614258,-0.027816772,9.932144,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2389,41af43bb3f9077ea,1423098492307,0.32173157,-0.054595947,9.901794,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2390,41af43bb3f9077ea,1423098492821,0.3026886,-0.048049927,9.914291,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2391,41af43bb3f9077ea,1423098493334,0.30923462,-0.05519104,9.9535675,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2392,41af43bb3f9077ea,1423098493853,0.30863953,-0.049240112,9.924408,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2393,41af43bb3f9077ea,1423098494366,0.2866211,-0.049240112,9.904175,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2394,41af43bb3f9077ea,1423098494886,0.29614258,-0.05102539,9.911316,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2395,41af43bb3f9077ea,1423098495393,0.28126526,-0.0748291,9.944046,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2396,41af43bb3f9077ea,1423098495909,0.30625916,-0.039123535,9.932739,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2397,41af43bb3f9077ea,1423098496426,0.29792786,-0.05935669,9.916077,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2398,41af43bb3f9077ea,1423098496938,0.29257202,-0.03793335,9.897034,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2399,41af43bb3f9077ea,1423098497453,0.29197693,-0.038528442,9.894653,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2400,41af43bb3f9077ea,1423098497970,0.31518555,-0.041503906,9.912506,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2401,41af43bb3f9077ea,1423098498482,0.28126526,-0.056381226,9.904175,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2402,41af43bb3f9077ea,1423098498997,0.28305054,-0.07899475,9.920242,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2403,41af43bb3f9077ea,1423098499513,0.29792786,-0.061141968,9.917267,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2404,41af43bb3f9077ea,1423098500030,0.3020935,-0.049240112,9.8702545,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2405,41af43bb3f9077ea,1423098500540,0.2937622,-0.030197144,9.882156,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2406,41af43bb3f9077ea,1423098501059,0.3098297,-0.047454834,9.938095,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2407,41af43bb3f9077ea,1423098501570,0.29911804,-0.062927246,9.90834,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2408,41af43bb3f9077ea,1423098502084,0.28364563,-0.07185364,9.882156,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2409,41af43bb3f9077ea,1423098502599,0.31637573,-0.056381226,9.919647,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2410,41af43bb3f9077ea,1423098503113,0.28959656,-0.0664978,9.900009,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2411,41af43bb3f9077ea,1423098503628,0.29614258,-0.0748291,9.917862,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2412,41af43bb3f9077ea,1423098504145,0.29257202,-0.06530762,9.877396,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2413,41af43bb3f9077ea,1423098504657,0.30030823,-0.05697632,9.9214325,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
